,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
1825,1825,April 17,Bohemian Rhapsody,Queen,9,April 24,3,7tFiyTwD0nx5a1eklYtX2J
1826,1826,April 17,Show Me the Way,Peter Frampton,6,May 8,5,6BD1X1PeV5UzYUdiVaD2yL
1827,1827,April 24,Welcome Back,John Sebastian,1,May 8,7,7AHRSH1KPHfuz7LHpy7yLM
1828,1828,April 24,Fooled Around and Fell in Love,Elvin Bishop,3,May 22,6,2hE5Lm5XOHR4t3xlhIFauP
1829,1829,May 1,Love Hangover,Diana Ross,1,May 29,9,4UqPeeSyRt59KZmC0aA2Ni
1830,1830,May 8,Silly Love Songs,Wings,1,May 22,11,3uiMBldZ07pW0ySHDX5gzE
1831,1831,May 8,Get Up and Boogie,Silver Convention,2,June 12,9,66wkmlfx3H0Oqg1frvJjhu
1832,1832,May 15,Happy Days,Pratt & McClain,5,June 5,5,1CCuMgDauGruOwxrSh9NSW
1833,1833,May 15,Shannon,Henry Gross,6,June 5,6,4IYoyOVK9oQyJS1QZt5Vyj
1834,1834,May 22,Misty Blue,Dorothy Moore,3,June 12,8,20JcxdRw8gvqTY1EEpYxHb
1835,1835,May 22,Tryin' to Get the Feeling Again,Barry Manilow,10,May 22,2,31dUwU4AkUROM1j4Rt3FdN
1836,1836,May 29,Sara Smile,Hall & Oates,4,June 26,7,1qjrYozGqc7upUgfN776lZ
1837,1837,June 5,Shop Around,Captain & Tennille,4,July 10,7,3maAFCOtAdJElV8gdU5GG4
1838,1838,June 5,Fool to Cry,The Rolling Stones,10,June 5,2,3T8dfE0azJUmXJA3QlmiZ5
1839,1839,June 12,"More, More, More",The Andrea True Connection,4,July 17,6,2AYEOC02WLhUiOoaig2SEH
1840,1840,June 19,Afternoon Delight,Starland Vocal Band,1,July 10,8,1pBAsoHy7eN9aeVCTAiKua
1841,1841,June 19,I'll Be Good to You,The Brothers Johnson,3,July 10,7,1mo1tQypPi59Unv8vWuNbL
1842,1842,June 26,Kiss and Say Goodbye,The Manhattans,1,July 24,9,0rHiGIRASJq8snJGFJMpnI
1843,1843,July 3,Love Is Alive,Gary Wright,2,July 31,7,5vVuiXoHyRGxJeCaHUpgae
1844,1844,July 10,Got to Get You into My Life,The Beatles,7,July 24,5,3tGhRLgcCP6SIZU3tbGl7l
1845,1845,July 17,Moonlight Feels Right,Starbuck,3,July 31,4,7sfMjwBcAatrNH46rn1YsK
1846,1846,July 17,Rock and Roll Music,The Beach Boys,5,August 14,6,7Ho3T7ERfooiAfvODaMQ2N
1847,1847,July 24,Don't Go Breaking My Heart,Elton John & Kiki Dee,1,August 7,8,7HW5WIw7ZgZORCzUxv5gW5
1848,1848,July 24,Get Closer,Seals and Crofts,6,July 24,4,5Eq0mobXSnyWu1dpE6lSdY
1849,1849,July 24,Let Her In,John Travolta,10,July 24,1,3Whxt8aH0WNNUeu70yxvEJ
